target,cohort,feature_set,preprocessing_config,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=laplacian,alpha=0.01,gamma_scale=1.0,max_features=12,x_transform=l2,log_target=True",10,0.72184536,0.35204268,0.34104304,-0.047544386
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=rbf,alpha=0.01,gamma_scale=1.0,max_features=48,x_transform=l2,log_target=True",10,0.72184536,0.35204268,0.34104304,-0.047544386
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=laplacian,alpha=0.01,gamma_scale=1.0,max_features=48,x_transform=l2,log_target=True",10,0.72184536,0.35204268,0.34104304,-0.047544386
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=rbf,alpha=0.01,gamma_scale=1.0,max_features=192,x_transform=l2,log_target=True",10,0.72184536,0.35204268,0.34104304,-0.047544386
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=laplacian,alpha=0.01,gamma_scale=1.0,max_features=192,x_transform=l2,log_target=True",10,0.72184536,0.35204268,0.34104304,-0.047544386
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=rbf,alpha=0.01,gamma_scale=2.0,max_features=12,x_transform=l2,log_target=True",10,0.72184585,0.35204301,0.34103945,-0.047544914
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=laplacian,alpha=0.01,gamma_scale=2.0,max_features=12,x_transform=l2,log_target=True",10,0.72184585,0.35204301,0.34103945,-0.047544914
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=rbf,alpha=0.01,gamma_scale=2.0,max_features=48,x_transform=l2,log_target=True",10,0.72184585,0.35204301,0.34103945,-0.047544914
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=laplacian,alpha=0.01,gamma_scale=2.0,max_features=48,x_transform=l2,log_target=True",10,0.72184585,0.35204301,0.34103945,-0.047544914
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=rbf,alpha=0.01,gamma_scale=2.0,max_features=192,x_transform=l2,log_target=True",10,0.72184585,0.35204301,0.34103945,-0.047544914
xylose_gL,all_known,eem_parafac_scores,parafac_rank_selected,krr,"kernel=laplacian,alpha=0.01,gamma_scale=2.0,max_features=192,x_transform=l2,log_target=True",10,0.72184585,0.35204301,0.34103945,-0.047544914
xylose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,krr,"kernel=rbf,alpha=0.01,gamma_scale=2.0,max_features=192,x_transform=none,log_target=False",10,0.72201862,0.30507047,0.38883835,-0.46113017
xylose_gL,all_known,parafac_raman_fusion_als_sg2_snv,als_sg2_snv+parafac,krr,"kernel=laplacian,alpha=0.01,gamma_scale=1.0,max_features=48,x_transform=none,log_target=True",10,0.7221272,0.32678104,0.32108132,-0.15289253
xylose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,weighted_knn,"k=3,metric=manhattan,max_features=48,x_transform=none,log_target=True",10,0.72251086,0.38672631,0.30366596,-0.16432389
xylose_gL,all_known,parafac_raman_fusion_als_sg2_snv,als_sg2_snv+parafac,krr,"kernel=laplacian,alpha=0.1,gamma_scale=2.0,max_features=48,x_transform=none,log_target=False",10,0.72274366,0.30517483,0.35152138,-0.24561269
xylose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,weighted_knn,"k=5,metric=manhattan,max_features=48,x_transform=none,log_target=False",10,0.72304323,0.38327728,0.31412424,-0.15153768
xylose_gL,all_known,parafac_raman_fusion_als_sg2_snv,als_sg2_snv+parafac,krr,"kernel=rbf,alpha=0.01,gamma_scale=2.0,max_features=192,x_transform=l2,log_target=False",10,0.72305856,0.26753513,0.38519496,-0.38440512
xylose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,krr,"kernel=laplacian,alpha=0.1,gamma_scale=2.0,max_features=12,x_transform=l2,log_target=True",10,0.72325143,0.33722615,0.32543157,-0.25636698
xylose_gL,all_known,parafac_raman_fusion_als_sg2_snv,als_sg2_snv+parafac,krr,"kernel=rbf,alpha=0.1,gamma_scale=1.0,max_features=48,x_transform=none,log_target=True",10,0.72332133,0.31739639,0.31699382,-0.171378
xylose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,krr,"kernel=rbf,alpha=0.01,gamma_scale=1.0,max_features=192,x_transform=none,log_target=True",10,0.72348423,0.33789748,0.34614437,-0.31858877
xylose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,krr,"kernel=rbf,alpha=0.1,gamma_scale=2.0,max_features=192,x_transform=none,log_target=False",10,0.72351127,0.25058174,0.38920518,-0.39046343
xylose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,krr,"kernel=rbf,alpha=0.01,gamma_scale=2.0,max_features=48,x_transform=l2,log_target=True",10,0.72364316,0.29637537,0.32412002,-0.2017653
xylose_gL,all_known,parafac_raman_fusion_als_sg2_snv,als_sg2_snv+parafac,krr,"kernel=laplacian,alpha=0.1,gamma_scale=1.0,max_features=48,x_transform=l2,log_target=True",10,0.72390569,0.31853031,0.33203497,-0.18303778
xylose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,weighted_knn,"k=5,metric=manhattan,max_features=192,x_transform=none,log_target=True",10,0.7244987,0.31203649,0.30256428,-0.33932748
xylose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,krr,"kernel=laplacian,alpha=0.1,gamma_scale=2.0,max_features=48,x_transform=none,log_target=False",10,0.72470966,0.32377546,0.36115329,-0.36237231
xylose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,krr,"kernel=rbf,alpha=0.1,gamma_scale=2.0,max_features=48,x_transform=none,log_target=True",10,0.72484436,0.31261043,0.31109448,-0.1633458
xylose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,weighted_knn,"k=5,metric=manhattan,max_features=48,x_transform=none,log_target=True",10,0.72520039,0.33203733,0.29933845,-0.10992371
xylose_gL,all_known,parafac_raman_fusion_als_sg2_snv,als_sg2_snv+parafac,krr,"kernel=rbf,alpha=0.01,gamma_scale=1.0,max_features=192,x_transform=none,log_target=True",10,0.72534337,0.3031195,0.33273607,-0.24481204
xylose_gL,all_known,raman_preprocessed_als_sg0_snv_area,als_sg0_snv_area,krr,"kernel=rbf,alpha=0.01,gamma_scale=2.0,max_features=48,x_transform=none,log_target=False",10,0.72558638,0.30709484,0.39853834,-0.43353402
xylose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,krr,"kernel=laplacian,alpha=0.1,gamma_scale=2.0,max_features=48,x_transform=none,log_target=False",10,0.72580804,0.27011729,0.37466686,-0.33984137
xylose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,weighted_knn,"k=5,metric=manhattan,max_features=12,x_transform=none,log_target=False",10,0.72589125,0.34164209,0.3143592,-0.20352508
xylose_gL,all_known,parafac_raman_fusion_als_sg2_snv,als_sg2_snv+parafac,krr,"kernel=laplacian,alpha=0.01,gamma_scale=2.0,max_features=48,x_transform=none,log_target=False",10,0.72645892,0.30239215,0.35485049,-0.27714005
